genreId,name
q5wdyrng,Collecting
72ympx2d,Collector
rnvjkpnq,Colony Sim
l2k6qwn1,Color
r2r0682z,Color Matching
650kqonm,Colorful
l2klqwn1,combat
45xkpmnd,Combat Flight Simulator
75mvq453,Combat Racing
9rnvjknq,Comedy
x5eq8154,Comedy Adventure
92dvky2l,Comical
l28lqmnr,Communist
m21ddl24,Competitive
1n9q1p2m,Competitive Fighting Game
65jj9v5k,Competitive Vertical Danmaku
d5ooz35w,Compilation
72yomd5d,Complete the Monument
4n66o0n9,Completion
4n46z820,Console compatible
q27wy1nl,Construction
x5eyzmn4,Construction and management simulation
r2rvzmnz,Controller
y5gkzk2e,Cooking
q5wky85g,Cooking Game
p231xkn6,Coomedy
75mjpe53,Coop
r2lox427,Cooperative Multiplayer
r2r9km2z,cooperative third-person shooter
p2363326,CORPG
6509yr5m,Crafting
dnqjl928,Craftrise
92dpvy2l,Crash Bandicoot
p23o4m26,crawler
m21pol24,creative
4n4ykon0,Creepy
g2zzm02l,Cricket
4n6wzo29,Crime
r2lrv827,Crossover
1n9lrdnm,Crossplatform
4n6y4o59,CRPG
l281lw5r,CSGO
l2klkkn1,Cubes
61n9yp5m,Cue sports game
q27y042l,Culinary Experience
650k16nm,Custard
4n463d20,cut fart loose
9rnvq95q,Cute
r2r0w62z,Cute 'em Up
r2rv19nz,Cute-em-up
x5eom824,cyber
q5w3k82g,Cyberpunk
45xm0x2d,"Cyberpunk, Sci-Fi, Futuristic"
92dvex2l,Cycling
r2loep27,CYOA
72yzv6nd,Dance
r2rv36nz,Dance game
65jvwe5k,Dance Simulation Game
65jgre5k,Dancing (Just Dance)
r2r9d32z,Dank Meme
p23mmxn6,danmaku
1n99eqnm,Dark
4n6y0759,Dark Comedy
75mg1453,dark fantasy
1n9x4vnm,Dark gal game shooting
q271rx2l,Dark Humor
x5eqjm54,Dark Humour
m2160454,Dark Riddle 2: Story Mode
p23wlk56,Dark Souls
45xj3v2d,Datapack
y5gj8p5e,Dating
m65jjk5k,Dating Sim
m21xm954,Dating Simulator
m216gz54,DCCG
x5eo6824,Deck builder
72y7pd2d,Deck Building
p23w3356,Deck-Builder
dnqj7928,Deck-building
65jjjk5k,Deckbuilder
72y7zx2d,Deckbuilding
4n4pmwn0,Defense
dnqj8r28,Delivery
q5wdemng,Demolition
p23wjd56,Demons
l2kjk651,Derby
r2rkkm5z,desktop-like
dnqo1r58,Destruction
d5ogv32w,Detective
1g2zwr2l,Detective-mystery
72ym0o2d,Dice
65j691nk,Dicebuilder
dnqvl928,Die
p23ovr26,Die & Retry
m21p1d24,Die and Retry
y5gxxpne,Die-And-Retry
l28m4k5r,Difficult
r2rkrp5z,Difficult Side on 3D platformer
45xmyv2d,digital
d5ogq02w,Digital Collectible Card Game
l28mlo5r,Digital pet
