parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
o6glek9d,j845m6yn,DLC,wk6w8ox2,global,,true,z19v4x8l
o6glek9d,rn1zd4vl,DLC,z27w1lgk,global,,true,81pz7e8l
o6glek9d,p85rq3vn,Difficulty,wk6w8ox2,global,,true,gq7on2dl
o6glek9d,38dp2j48,Difficulty,7kjg6qxk,global,,true,klrdzxmq
o6glek9d,r8r7yo5n,Difficulty,xk9wv8y2,global,,true,5q83e431
o6glek9d,5ly1272l,Difficulty,zdnz8xqd,global,,true,mln7yej1
o6glek9d,e8m54men,Difficulty,z27w1lgk,global,,true,9qjoz23l
o6glek9d,6nj5pk6l,Difficulty,9kv8q88d,full-game,,false,81w2kw91
o6glek9d,onv5rw0l,Difficulty,,all-levels,,true,
76rxqkv6,68k4r63l,Version,,global,,true,4lxoov2l
w6j7zz26,ylqqwjvl,Platform,,global,,true,81w6d66l
w6j7zz26,gnxw1eg8,NG,vdop3jy2,full-game,,true,zqoz3z4l
w6j7zz26,jlzgd4yn,Difficulty,wdmm8e5d,full-game,,true,4lxm8ngq
w6j7zz26,9l7rpj4n,Difficulty,jdrw7zgk,full-game,,true,p12gw72q
w6j7zz26,yn2wqodn,Difficulty,jdzrvy32,full-game,,true,gq7y48rq
w6j7zz26,gnxwx048,NG,02qel5j2,full-game,,true,rqvjzerq
9do83om1,jlzg245n,SKP,,global,,true,21g0588q
o1yjol41,0nwpyv58,Version,,global,,true,p12j00dq
y6553e46,68k53pk8,ANY%,wk63r4pk,full-game,,true,21dx44pq
y6553e46,rn1pq11n,ALL BOSSES,n2ynrm1k,full-game,,true,klrozzol
y6553e46,p85dj93l,ALL ACHIEVEMENTS,xk9x59gk,full-game,,true,21gzjj6l
4d7ngvz6,7893rp98,Touch Screen,,global,,true,qj77droq
9do8o9m1,6njz105l,Colour,mkev9z82,global,,true,81087eoq
9do8o9m1,ylp7g4rl,AI Difficulty,,global,,true,z19357k1
9do8o9m1,j84dgd28,Variants,5dw977l2,full-game,,true,814z08vl
m1mn3nxd,789x21q8,Speed,,full-game,,true,4lxke841
m1mn3nxd,onv7qvwn,Shop Menu Used?,,full-game,,false,
9d38kpw1,ylp67wvn,Full game,,global,,false,xqkwr0nq
268e4l96,0nwowrkl,Hoverless%,9kv99v02,global,,true,gq7d6zyq
m1zj9x36,ql6176v8,SUSHI,,global,,false,
pd0wvrl1,dlo9oxml,Glitch Category,wk688oq2,full-game,,true,1gn9ygml
yd4o9vx1,j84eyjwn,category,824jyzw2,full-game,,true,5lm6e241
nd2emj5d,wle94dx8,Cycle number,n2ynv3zk,full-game,,false,21dxko4q
pdv2x596,0nwgovr8,Category,zd34m6y2,full-game,,true,14oomnwq
pdv9no91,ql6y19j8,1 League,mke133j2,full-game,,true,lx5yzkj1
pdv9no91,onv57ywl,qewqweqew,zdnge5xk,full-game,,false,192z3vjq
pdv9no91,ylpy7kjl,5 Leagues,zdnge5xk,full-game,,true,12v2nkvq
pdv9no91,0nwm7y58,All Leagues,zdnge5xk,full-game,,true,qzn0dw4q
pdv9no91,789vxe5n,All Leagues,zdnge5xk,full-game,,true,le2eo0pl
pdv9no91,2lge3k68,All Leagues,zdnge5xk,full-game,,true,q5v26mrl
pdv9no91,p85yrwxl,Individual Leagues,zdnge5xk,full-game,,true,lx5yz2j1
pd0qj2w1,yn2mm5e8,Technique,zd3r6pvd,global,,true,4lxnjm31
pd0qj2w1,kn000jdn,Difficulty Techniques,wkpropw2,global,,true,5lejwpm1
pd0qj2w1,6njkk46l,Difficulty,wkpropw2,global,,true,9qj35p7l
pd0qj2w1,ql6rr7xl,Parkour Maps,xd1qe642,global,,true,q75gpwn1
pd0qj2w1,ylpqq7v8,Bridging Direction,n2ym5482,global,,true,9qj3537l
pd0qj2w1,0nw007kl,Bridging Distance,n2ym5482,global,,true,81wykymq
